Competizione,Count,Periodo,Rank
coppaBelgio,0,post-2016,2nd
scottishPremiership,0,post-2016,2nd
coppaScozia,0,post-2016,2nd
coppaFrancia,0,post-2016,2nd
Nessuna Competizione,1,post-2016,2nd
champions,5,pre-1994,3rd
laLiga,4,pre-1994,3rd
serieA,5,pre-1994,3rd
primeraLiga,0,pre-1994,3rd
Mondiale,0,pre-1994,3rd
coppaOlanda,1,pre-1994,3rd
coppaItalia,1,pre-1994,3rd
Europeo,1,pre-1994,3rd
europaLeague,2,pre-1994,3rd
bundesliga,0,pre-1994,3rd
CoppaAmerica,0,pre-1994,3rd
coppaInghilterra,0,pre-1994,3rd
coppaSpagna,1,pre-1994,3rd
legue1,0,pre-1994,3rd
premierLeague,0,pre-1994,3rd
coppaBelgio,0,pre-1994,3rd
scottishPremiership,1,pre-1994,3rd
coppaScozia,1,pre-1994,3rd
coppaFrancia,0,pre-1994,3rd
Nessuna Competizione,23,pre-1994,3rd
champions,4,1995–2009,3rd
laLiga,1,1995–2009,3rd
serieA,2,1995–2009,3rd
primeraLiga,0,1995–2009,3rd
Mondiale,0,1995–2009,3rd
coppaOlanda,0,1995–2009,3rd
coppaItalia,1,1995–2009,3rd
Europeo,1,1995–2009,3rd
europaLeague,1,1995–2009,3rd
bundesliga,0,1995–2009,3rd
CoppaAmerica,1,1995–2009,3rd
coppaInghilterra,0,1995–2009,3rd
coppaSpagna,1,1995–2009,3rd
legue1,0,1995–2009,3rd
premierLeague,0,1995–2009,3rd
coppaBelgio,0,1995–2009,3rd
scottishPremiership,0,1995–2009,3rd
coppaScozia,0,1995–2009,3rd
coppaFrancia,0,1995–2009,3rd
Nessuna Competizione,6,1995–2009,3rd
champions,2,2010–2015,3rd
laLiga,3,2010–2015,3rd
serieA,0,2010–2015,3rd
primeraLiga,0,2010–2015,3rd
Mondiale,2,2010–2015,3rd
coppaOlanda,0,2010–2015,3rd
coppaItalia,0,2010–2015,3rd
Europeo,1,2010–2015,3rd
europaLeague,0,2010–2015,3rd
bundesliga,0,2010–2015,3rd
CoppaAmerica,0,2010–2015,3rd
coppaInghilterra,0,2010–2015,3rd
coppaSpagna,2,2010–2015,3rd
legue1,0,2010–2015,3rd
premierLeague,0,2010–2015,3rd
coppaBelgio,0,2010–2015,3rd
scottishPremiership,0,2010–2015,3rd
coppaScozia,0,2010–2015,3rd
coppaFrancia,0,2010–2015,3rd
Nessuna Competizione,1,2010–2015,3rd
champions,2,post-2016,3rd
laLiga,1,post-2016,3rd
serieA,1,post-2016,3rd
primeraLiga,0,post-2016,3rd
Mondiale,1,post-2016,3rd
coppaOlanda,0,post-2016,3rd
coppaItalia,0,post-2016,3rd
Europeo,0,post-2016,3rd
europaLeague,1,post-2016,3rd
bundesliga,0,post-2016,3rd
CoppaAmerica,0,post-2016,3rd
coppaInghilterra,0,post-2016,3rd
coppaSpagna,0,post-2016,3rd
legue1,1,post-2016,3rd
premierLeague,1,post-2016,3rd
coppaBelgio,0,post-2016,3rd
scottishPremiership,0,post-2016,3rd
coppaScozia,0,post-2016,3rd
coppaFrancia,1,post-2016,3rd
Nessuna Competizione,1,post-2016,3rd
